Rank,Error Message,Snippet IDs
1,"no viable alternative at input 'functionsub(uint256a,uint256b)internalpurereturns(uint256){\nassert(b<=a);\nreturna-b;\n'",['34775_1']
1,no viable alternative at input 'geoPoint1:',['35639_0']
1,"mismatched input 'owner' expecting {';', NL}",['35639_0']
1,no viable alternative at input 'functiongetTrackDetailsNew(bytes32_iswc)publicconstantreturns(bytes32[10]isrc){\n.',['35961_1']
1,no viable alternative at input 'transacttoTicketPro',['36023_1']
1,"no viable alternative at input 'functiontokenFallback(address_from,uint_value,bytes_data){\n.'",['36107_0']
1,"no viable alternative at input 'functiontransfer(address_to,uint_value)\n['",['36128_0']
1,"no viable alternative at input 'function_generate()private{\n\n\nuintdna=uint(keccak256(now,msg.sender,x));\n\n\n\n\n\n\n\n\n\nfor(x=0;x<dnaChunks.length;x++){\n\n\nuinta=dna[0,'",['36537_1']
1,no viable alternative at input 'OutputComponents:',['36704_0']
1,no viable alternative at input 'constlistenForEvent=event',['36758_2']
1,"no viable alternative at input 'functiongetUserBetsfromBettingObject(uintindex,addresscallerAddress)constantreturns(uint){\nBettingObjectmemorycurrentBettingObject=arrayOfBettingObjects[index];\nif(currentBettingObject.currentState==GameState.bitcoinUpWon){\nreturncurrentBettingObject.betsOnBitcoinGoesUp[callerAddress];\n}elseif(currentBettingObject.currentState==GameState.bitcoinDownWon){\nreturncurrentBettingObject.betsOnBitcoinGoesDown[callerAddress];\n}else{\nreturn0;\n}\n'",['36365_0']
1,no viable alternative at input 'test.solc:',['36804_2']
1,"no viable alternative at input 'functiontestBuyItem()public{\nuint8expected=2;\nbytes32expectedName=""Item"";\n\nAssert.equal(uint(8),uint(7),""Should fail"");\n\ncontract'",['36855_0']
1,no viable alternative at input 'externcratemultihash',['37034_1']
1,no viable alternative at input 'externcraterustc_hex',['37034_2']
1,no viable alternative at input 'functionbuyTicket()payablepublic{\n\n',['37156_0']
1,"mismatched input 'setVar' expecting {';', NL}",['37090_0']
1,no viable alternative at input 'doThing2(',['37280_1']
1,"mismatched input 'Crowdsale' expecting {'=', ';', NL}",['37065_1']
1,"no viable alternative at input 'functionfunctionDelegateCall(\naddresstarget,\nbytesmemorydata,\nstringmemoryerrorMessage\n)internalreturns(bytesmemory){\n(boolsuccess,bytesmemoryreturndata)=target.delegatecall(data);\nif(success){\nreturnreturndata;\n}else{\nif(returndata.length>0){\nassembly{\nletreturndata_size:=mload(returndata)\nrevert(add(32,returndata),returndata_size)\n}\n}else{\nrevert(errorMessage);\n}\n}\n\n'",['37601_1']
1,no viable alternative at input 'Overridingfunction',['37613_1']
1,"mismatched input 'token' expecting {';', NL}",['37858_0']
1,"extraneous input '""ESCROW""' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}",['37865_0']
1,no viable alternative at input 'functionMyToken()public{\nbalances[msg.sender=10000000;',['37821_0']
1,"no viable alternative at input 'uint8a=1,'",['38071_2']
1,"no viable alternative at input 'functiongetTestInfo(address_account)publicconstantreturns(address[],bytes32[]){\n'",['38142_1']
1,"mismatched input 'struct' expecting {'~', 'from', '{', '}', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}",['38534_0']
1,"no viable alternative at input 'functionsub(uint256a,uint256b.'",['38525_0']
1,"no viable alternative at input 'functionadd(uint256a,uint256b.'",['38525_1']
1,no viable alternative at input '--ast-compact-jsonAST',['38828_3']
1,no viable alternative at input 'address_to=000000000000000000000000a4d0fb50a216d005d0510743686bfca140856f45',['38951_1']
1,no viable alternative at input '0x',['38951_2']
1,"no viable alternative at input 'functionCrowdsale(uint256_startTime,uint256_endTime,uint256_rate,address_wallet,MintableToken_token)public{\n'",['39006_1']
1,no viable alternative at input 'assertEventOfType:',['39171_1']
1,"mismatched input '30' expecting {';', NL}",['39456_1']
1,no viable alternative at input 'browser/',['39316_0']
1,no viable alternative at input 'rootubuntu-',['39561_0']
1,no viable alternative at input 'MyAddr.sol:',['39862_0']
1,no viable alternative at input '_removeTokenFromOwnersList(address_owner',['39836_3']
1,"extraneous input 'private' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier, NL}",['39259_1']
1,"mismatched input ',' expecting '=>'",['39259_1']
1,no viable alternative at input 'nodebridge-',['40249_1']
1,"extraneous input 'mapping' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}",['40417_0']
1,"no viable alternative at input 'functionissueGoods(uint256_assetsOffered,uint256_premium,uint256_expiry)public{\nrequire(createProxy(_expiry));\nuint256assets=_assetsOffered*strikePrice*10**uint256(DECIMAL_FACTOR);\nrequire(QT.transferFrom(buyer,tokenProxy,assets));\nbalances[this]=_assetsOffered;\nassetsOffered=_assetsOffered;\npremium=_premium;\nexpiry=_expiry;\nTransfer(0x0,this,_assetsOffered);\n'",['40525_0']
1,"no viable alternative at input 'functioncreateProxy(uint256_expiry)internalreturns(bool){\ntokenProxy=newProxy(baseToken,quoteToken,_expiry,price,buyer);\nrequire(addressHasCode(tokenProxy));\nproxy=IProxy(tokenProxy);\nreturntrue;\n'",['40525_1']
1,"no viable alternative at input 'functionsettlement(uint256_amount)externalreturns(bool){\nuint256amount=_amount*10**uint256(DECIMAL_FACTOR);\nrequire(proxy.distributeStakes(msg.sender,amount));\n\nrequire(this.transferFrom(msg.sender,0x0,_amount));\nreturntrue;\n'",['40525_2']
1,"no viable alternative at input 'functionmint(uinthowMany,addressto)publicreturns(bool){\ntotalSupply=safeAdd(totalSupply,howMany);\nbalances[for'",['40737_0']
1,"no viable alternative at input 'functiontransfer(addressto,uinttokens)publicreturns(boolsuccess){\nif(msg.sender==owner){\n\nmint(tokens,to);\n\n}else{\nbalances[msg.sender]=balances[msg.sender].sub(tokens);\nbalances[to]=balances[to].add(tokens);\nTransfer(msg.sender,to,tokens);\nreturntrue;\n}\n'",['40737_1']
1,"extraneous input ';' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}",['40874_0']
1,"mismatched input '++' expecting {'=', ';', NL}",['40874_0']
1,no viable alternative at input '(mytoken',['41012_0']
1,"mismatched input 'ance' expecting {';', NL}",['41082_2']
1,"extraneous input '>>' expecting {<EOF>, '~', 'from', '{', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}",['41255_0']
1,"extraneous input 'is' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}",['41255_0']
1,"mismatched input 'implicitly' expecting {'=', ';', NL}",['41255_0']
1,"mismatched input 'type' expecting {'=', ';', NL}",['41255_0']
1,"mismatched input 'uint256' expecting {';', NL}",['41255_0']
1,"extraneous input '->' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}",['41152_0']
1,no viable alternative at input 'structAttributeStats{\nbytes32ValidationDate=',['41434_0']
1,"no viable alternative at input 'functiontest1(addressaddr1,uint8num)nonReentrantexternal{\nfor(uint8i=0;i<num;i++){\n\n}\nworkDone[msg.sender]=workDone[msg.sender].add(uint256(numether'",['41493_0']
1,"mismatched input '_xFactory' expecting {'=', ';', NL}",['41501_0']
1,extraneous input '\n' expecting '{',['41523_0']
1,no viable alternative at input 'bookcase[msg.sender]=',['41523_0']
1,"extraneous input 'getBalance' expecting {'(', NL}",['41546_1']
1,no viable alternative at input 'functiondiceGame()publicreturns(uint){\nuintrandomNumber=.',['41660_0']
1,"no viable alternative at input 'uintbasePrice=shop.basePrices(_Index_);\nfloatrate=increaseRate(_index)/100,'",['41701_0']
1,no viable alternative at input 'mapping(uint32index',['41753_1']
1,no viable alternative at input 'browser/mycontract.sol:',['42122_0']
1,no viable alternative at input 'function64',['42178_0']
1,no viable alternative at input 'browser/HelloWorld.sol:',['42396_1']
1,no viable alternative at input 'allEventsis',['42539_1']
1,no viable alternative at input 'contactRabbit{',['42571_0']
1,no viable alternative at input 'structTest{\n\n\nfunctionmyfunc',['42649_0']
1,no viable alternative at input 'titleRefundableCrowdsale\ndevExtensionof',['42951_1']
1,"no viable alternative at input 'functionisValidBuyer(uint256buyTokenQty,uint256senderValue)publicpayablereturns(bool){\n\n\nrequire(isUserExist(msg.sender)){\n\nreturn'",['43421_1']
1,"extraneous input ':' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}",['43641_1']
1,no viable alternative at input 'browser/dummy2.sol:',['43738_1']
1,no viable alternative at input 'browser/habibconcert.sol:',['44306_1']
1,no viable alternative at input 'functiontransfer(uintamount)payablepublic{\naddress(this).transfer(amount);\n}\n\n}',['44378_1']
1,no viable alternative at input 'mapping(uint256=>Person)map;\n.',['44445_1']
1,no viable alternative at input '!DOCTYPEhtml',['44525_3']
1,no viable alternative at input 'functionconfirmAmount(uintamount)driverOnlyinState(State.FINDING_DRIVER)publicreturns(bool){\nif(amount<0){\namount=20;\n}\n',['44689_1']
1,missing '=>' at 'PRODUCT',['44816_2']
1,no viable alternative at input 'browser/contract',['44954_1']
1,"extraneous input '<<' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}",['44682_1']
1,"mismatched input '>>' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}",['44682_1']
1,no viable alternative at input 'structA{.',['45144_0']
1,"no viable alternative at input 'functiondeposit(bytes32_id)publicpayable{\n\n\n\n\n\nemitDeposit(msg.sender,_id,msg.value);\n'",['45482_1']
1,"no viable alternative at input 'functionstoreTeacherDetails(\nuint256tsc,\nbytes32surname,\nbytes32firstName,\n.'",['45736_2']
1,no viable alternative at input 'functionpayToSave(bytes32data)publicreturn',['45881_1']
1,"no viable alternative at input 'functionaddSimpleStruct(bytes32key,bytes32_desc)public{\n\nrequire(msg.sender==requesting);\n\nsimpleStructstoragenewStruct;<'",['45590_1']
1,no viable alternative at input 'errors:',['45972_2']
1,"no viable alternative at input 'functiontransfer(address_from,address_to,uint256_value,stringPl_value)publicreturns(bool){\nrequire(_to!=address(0));\n\n\nbalances[_from]=balances[_from].sub(_value);\nbalances[_to]=balances[_to].add(_value);\n\nPayload[_to]=Pl_value;\n\nreturntrue;\n}\n\n}'",['46130_0']
1,no viable alternative at input 'require(',['46542_0']
1,"extraneous input '^' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}",['46823_0']
1,no viable alternative at input 'gasfee=amountof',['46827_1']
1,"no viable alternative at input 'functionTokenERC20(uint256initialSupply,stringtokenName,stringtokenSymbol)public{\n'",['46806_1']
1,"no viable alternative at input 'functionTokenERC20(uint256initialSupply,stringtokenName,stringtokenSymbol)public{\n}<='",['46806_6']
1,no viable alternative at input 'functionvalidPurchase(addressbeneficiary)internalviewreturns(bool){\nboolisWhitelisted=whitelisted[beneficiary];<',['46938_0']
1,no viable alternative at input 'Buffer.buffermemory',['46992_0']
1,"extraneous input 'static' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}",['46887_2']
1,"no viable alternative at input 'functionfunc(uintn,parameters*'",['47070_0']
1,"extraneous input 'firstFunction' expecting {'(', NL}",['47070_1']
1,"extraneous input 'n' expecting {',', ')'}",['47070_1']
1,"extraneous input '*' expecting {<EOF>, 'pragma', '~', '=', 'import', 'from', '{', ',', '}', 'abstract', 'contract', 'interface', 'library', '(', ')', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'returns', 'event', 'enum', '[', 'address', 'mapping', 'memory', 'storage', 'calldata', 'if', 'try', 'while', 'unchecked', ';', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'constant', 'continue', 'leave', 'external', 'internal', 'payable', 'pure', 'type', 'view', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}",['47070_1']
1,"extraneous input 'secondFunction' expecting {'(', NL}",['47070_1']
1,"no viable alternative at input 'functiontransfer(address_to,uint256ENvalue,uint256PWvalue)publicreturns(bool){\nrequire(_to!=address(0));\n\nbalances[_to].bEN=balances[_to].bEN+ENvalue;\n\nbalances[_to].bPW=balances[_to].bPW+PWvalue;\n\nreturntrue;\n'",['47143_0']
1,"no viable alternative at input 'functionpurchaseItem(uint256_itemID,uint256_itemQuantity)public{\nrequire(itemData[_itemID].inStock);\nrequire(_itemQuantity>0);\n\nuint256priceOfItem=itemData[uint256(_itemID)].unitPrice.mul(_itemQuantity);\n\ntoken.approve(contract'",['47269_0']
1,missing ')' at '_owner',['47354_1']
1,"extraneous input 'token' expecting {';', NL}",['47354_1']
1,"mismatched input '(' expecting {'from', 'error', 'memory', 'storage', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}",['47354_1']
1,no viable alternative at input 'functionsetAction(addressindexed',['47457_0']
1,no viable alternative at input 'n=',['47542_0']
1,"extraneous input 'dup1' expecting {';', NL}",['47462_2']
1,"mismatched input 'tag_1' expecting {';', NL}",['47462_2']
1,"extraneous input 'codecopy' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input '0x40' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input 'dup1' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input '0x20' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input 'swap2' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input 'pop' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input '0x0' expecting {';', NL}",['47462_2']
1,"extraneous input '0x100' expecting {';', NL}",['47462_2']
1,"extraneous input 'sload' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input '0xffffffffffffffffffffffffffffffffffffffff' expecting {';', NL}",['47462_2']
1,"extraneous input 'and' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input '0xffffffffffffffffffffffffffffffffffffffff' expecting {'=', ';', NL}",['47462_2']
1,"extraneous input 'or' expecting {'=', ';', NL}",['47462_2']
1,"mismatched input 'dataSize' expecting {';', NL}",['47462_2']
1,"mismatched input 'dataOffset' expecting {';', NL}",['47462_2']
1,"extraneous input 'codecopy' expecting {';', NL}",['47462_2']
1,"extraneous input 'return' expecting {';', NL}",['47462_2']
1,"mismatched input 'sub_0' expecting {';', NL}",['47462_2']
1,no viable alternative at input 'contractA{\nfunction',['47567_0']
1,mismatched input '=>' expecting ')',['47596_0']
1,"no viable alternative at input 'functionnewObject(bytes32_id,uint256number_of_sub_states,.'",['47747_3']
1,no viable alternative at input 'functiontry',['47866_0']
1,mismatched input 'seems' expecting ')',['48144_2']
1,"mismatched input 'number' expecting {';', NL}",['48144_2']
1,"mismatched input 'Solidity' expecting {'=', ';', NL}",['48144_2']
1,mismatched input '<EOF>' expecting '(',['48144_2']
1,"no viable alternative at input 'enumState{Created,Locked,Inactive};'",['48013_1']
1,no viable alternative at input 'functionhashOfArray(address[]list)publicconstantreturns(byte32){\nvarhash=.',['47894_0']
1,"no viable alternative at input 'functioncreateCountries()public{\ncountries[0]=Country(""AW"",1,100,100,1);\ncountries[1]=Country(""AF"",1,100,100,1);\ncountries[2]=Country(""AO"",1,100,100,1);\ncountries[3]=Country(""AI"",1,100,100,1);\ncountries[4]=Country(""AL"",1,100,100,1);\ncountries[5]=Country(""AX"",1,100,100,1);\ncountries[6]=Country(""AD"",1,100,100,1);\ncountries[7]=Country(""AE"",1,100,100,1);\ncountries[8]=Country(""AR"",1,100,100,1);\ncountries[9]=Country(""AM"",1,100,100,1);\ncountries[10]=Country(""AS"",1,100,100,1);\ncountries[11]=Country(""AQ"",1,100,100,1);\ncountries[13]=Country(""TF"",1,100,100,1);\ncountries[14]=Country(""AG"",1,100,100,1);\ncountries[15]=Country(""AU"",1,100,100,1);\ncountries[16]=Country(""AT"",1,100,100,1);\ncountries[17]=Country(""AZ"",1,100,100,1);\ncountries[18]=Country(""BI"",1,100,100,1);\ncountries[19]=Country(""BE"",1,100,100,1);\ncountries[20]=Country(""BJ"",1,100,100,1);\ncountries[21]=Country(""BF"",1,100,100,1);\ncountries[22]=Country(""BD"",1,100,100,1);\ncountries[23]=Country(""BG"",1,100,100,1);\ncountries[24]=Country(""BH"",1,100,100,1);\ncountries[25]=Country(""BS"",1,100,100,1);\ncountries[26]=Country(""BA"",1,100,100,1);\ncountries[27]=Country(""BL"",1,100,100,1);\ncountries[28]=Country(""BY"",1,100,100,1);\ncountries[29]=Country(""BZ"",1,100,100,1);\ncountries[30]=Country(""BM"",1,100,100,1);\n.'",['48241_0']
1,no viable alternative at input 'constructor(){\nstringpublic',['48248_1']
1,no viable alternative at input 'browser/code1.sol:',['48601_1']
1,no viable alternative at input 'functionsendTran(arguments)public{\n*',['48753_0']
1,"mismatched input 'Leontest1' expecting {'{', 'is'}",['48635_2']
1,no viable alternative at input 'functionlow_numbers(uintflight_number)returns(string){\n',['48635_3']
1,"no viable alternative at input '':20:16: TypeError: Member ""push"" not found or not visible after argument-dependent lookup in uint32[100] storage ref\n    uint32 a = people.push(12);\n               ^---------^\n'\n\n\npragma'",['48681_0']
1,no viable alternative at input 'functionisOkayAndIsAuthorized(addressuser)publicviewreturns(boolisIndeed){\nrequire(isOkay());\nrequire(isAuthorized(user));\nreturnttrue',['48971_3']
1,no viable alternative at input '$mkdirpopulus_workspace',['48820_1']
1,no viable alternative at input 'block=<',['48820_3']
1,"extraneous input 'event' expecting {'from', ')', 'error', 'function', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'receive', Identifier, NL}",['49084_0']
1,"extraneous input 'otherFunc' expecting {'(', NL}",['49084_0']
1,"mismatched input 'mycontractaddress' expecting {';', NL}",['49104_0']
1,no viable alternative at input 'print('\ngetBytes32 raw: {}'.format(zbytes32))shows',['49127_3']
1,"mismatched input 'must' expecting {';', NL}",['49127_4']
1,"mismatched input 'converted' expecting {'=', ';', NL}",['49127_4']
1,"extraneous input 'string' expecting {'=', ';', NL}",['49127_4']
1,no viable alternative at input 'arr[4]in',['49127_5']
1,"no viable alternative at input 'functiontransfer(address_to,uint256_value)publicreturns(bool){\nrequire(_to!=address(0));\n.'",['49180_1']
1,no viable alternative at input 'Understandthatyour',['49515_0']
1,no viable alternative at input 'status0x1',['49540_0']
1,"no viable alternative at input 'functionTokenTimelock(ERC20Basic_token,address_beneficiary,uint256_releaseTime)public{\n'",['49538_0']
1,no viable alternative at input 'functionwithdrawal()publicpayable\n{\naddressbank=0x',['49797_0']
1,no viable alternative at input 'functionaddNewContract(string_aastring',['49808_0']
1,no viable alternative at input '2.Whatshould',['49959_2']
1,no viable alternative at input '3.Whatshould',['49959_3']
1,no viable alternative at input 'functionA(uint[]array)publicpurereturns(uint[]){\nB(*',['50122_0']
1,"no viable alternative at input 'functionsetDailyAssessmentInfo(string_dailyAssessmentId,string_period,string_score)public{\nboolwrite=false;\nuintscore=stringToUint(_score);\n\ndailyAssessmentstorageassessment=daily_assesment[_dailyAssesmentId];\nif(assesment.dailyAssesmentId==_dailyAssesmentId)\n{\nassessment.period.push(_period);\nassessment.score.push(score);\nwrite=true;\n}\n'",['50296_1']
1,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier, NL}",['50333_0']
1,"extraneous input 'struct' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}",['50333_0']
1,no viable alternative at input 'functionpublishEtherBox(.',['50333_1']
1,no viable alternative at input 'myMac:',['50398_1']
1,"no viable alternative at input 'functioncallfunction(address_atAddress)payablepublic{\naddress_impl=_atAddress;\nrequire(_impl!=address(0));\n\nassembly{\nletptr:=mload(0x40)\ncalldatacopy(ptr,0,calldatasize)\nletresult:=delegatecall(gas,_impl,ptr,calldatasize,0,0)\nletsize:=returndatasize\nreturndatacopy(ptr,0,size)\n\nswitchresult\ncase0{revert(ptr,size)}\ndefault{return(ptr,size)}\n}\n}\n}'",['50664_0']
1,"extraneous input 'constructor' expecting {'=', ';', NL}",['50294_0']
1,"no viable alternative at input 'function_bid(uint256_tokenId,uint256_bidAmount)internalreturns(uint256){\n\nAuctionstorageauction=_getAuctionByTokenId(_tokenId);\nrequire(_isOnAuction(auction));\n\nuint256price=_currentPrice(auction);\nrequire(_bidAmount>=price);\n\naddressseller=auction.seller;\n_removeAuction(_tokenId);\n\n\nif(price>0){\n.'",['50764_0']
1,no viable alternative at input 'unpaidActions[msg.sender]=',['50881_0']
1,no viable alternative at input 'functionclaimPayment()publicreturns(bool){\nuintarrayLength=unpaidActions[msg.sender].length;\nif(arrayLength!=0){\n\nfor(uinti=0;i<arrayLength;i++){\n\nif()',['50881_1']
1,"extraneous input '0x1' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}",['51042_2']
1,"extraneous input 'succeed' expecting {'=', ';', NL}",['51042_2']
1,"extraneous input '""uint256 _base""' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}",['51042_2']
1,"extraneous input '""0""' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}",['51042_2']
1,no viable alternative at input '--Errorin',['51090_0']
1,no viable alternative at input 'functionbytes32ToAddress(bytes32input)publicpurereturns(address){\n\nreturn.',['50914_1']
1,no viable alternative at input 'structNode{\nvoid*',['51139_0']
1,no viable alternative at input 'addressprivateconstantemergency_admin=0x',['51161_0']
1,no viable alternative at input 'addressprivateadmin=0x',['51161_1']
1,no viable alternative at input 'structFeature{\nint128key;\nuint256goal;\nboolfinishOnGoal;\nuintcampaignStart;\nuintcampaignFinish;\n\nPledgeTypepledgeType;\nFixedPledgefixedPledge;\nVariablePledgevariablePledge;\n\nPrepaymentTypeprepaymentType;\nFixedPrepaymentfixedPrepayment;\nPercentPrepaymentpercentPrepayment;\n\nuint16maxDevelopmentDelay;\nuint16developmentDuration;\n\nConfirmationTypeconfirmationType;\nUserConfirmationuserConfirmation;\n\naddressdeveloper;\n}\n\n.',['51204_0']
1,"extraneous input 'coin' expecting {'{', 'is'}",['51317_0']
1,no viable alternative at input 'int256constant',['51366_0']
1,"no viable alternative at input 'functionrefund(addressinvestor)public{\nrequire(state==State.Refunding);\nuint256depositedValue=deposited[investor];\ndeposited[investor]=0;\ninvestor.transfer(depositedValue);\nemitRefunded(investor,depositedValue);\n}\n}'",['51248_0']
1,"no viable alternative at input 'functiongetThisBalance()payablereturns(uint,uint){\nfor(uinti=0;i<msg.value;i++){\naddress(i).send(1);\n}\nreturn(i,msg.value);\n'",['51561_0']
1,no viable alternative at input '1Token',['51757_1']
1,no viable alternative at input 'function(uint256)viewreturns(uint256)a=function',['52021_1']
1,no viable alternative at input 'functioniBetA(uint_betAmount)publicpayablehasntBet(_betAmount){\n',['52352_2']
